I,II,III,aVR,aVL,aVF,V1,V2,V3,V4,V5,V6
332,986,638,-678,-146,813,-550,-388,305,746,885,688
346,964,642,-670,-136,791,-539,-419,311,726,872,691
332,939,633,-636,-152,787,-521,-398,292,707,820,670
310,878,581,-607,-131,741,-507,-351,257,657,809,617
291,807,545,-568,-128,703,-449,-354,248,633,744,564
274,732,492,-517,-121,627,-414,-314,219,537,666,513
237,656,435,-438,-105,562,-349,-268,208,498,577,460
169,576,371,-380,-75,468,-311,-227,175,428,482,382
188,446,289,-314,-63,374,-251,-186,142,354,400,339
125,361,242,-246,-64,277,-218,-151,100,257,309,259
101,253,152,-186,-32,220,-148,-86,64,199,234,203
71,158,102,-108,-33,150,-87,-45,34,122,164,108
38,75,68,-44,-25,57,-34,-19,40,79,48,57
-5,-14,18,-7,-11,-1,-1,10,-5,-34,-6,-1
-24,-78,-34,48,10,-63,31,16,-22,-65,-70,-55
-67,-128,-113,112,34,-108,88,44,-18,-116,-125,-105
-69,-207,-140,121,31,-159,111,98,-55,-145,-194,-139
-80,-247,-156,142,27,-185,137,101,-61,-176,-200,-180
-103,-287,-166,181,49,-224,156,102,-84,-191,-246,-201
-102,-293,-190,204,32,-259,151,102,-95,-233,-255,-220
-119,-276,-212,223,47,-250,180,131,-69,-233,-259,-215
-124,-318,-211,211,62,-262,169,136,-111,-249,-294,-220
-116,-319,-208,234,76,-268,178,131,-107,-253,-281,-240
-112,-319,-195,210,42,-256,184,141,-105,-235,-274,-218
-112,-314,-221,224,62,-245,164,111,-88,-242,-272,-201
-85,-292,-184,201,37,-239,121,114,-92,-220,-249,-188
-99,-287,-138,170,14,-229,138,91,-49,-191,-229,-176
-95,-221,-158,144,27,-201,140,88,-80,-191,-216,-180
-76,-240,-148,153,48,-177,105,85,-50,-166,-216,-158
-59,-189,-127,157,26,-163,122,70,-69,-157,-178,-134
-50,-171,-116,128,51,-145,115,78,-88,-126,-148,-130
